B1,B2,B3,B4,B5,B6,B7,B10,Yield
0.04332,0.062102500000000005,0.1016475,0.1368475,0.24354750000000003,0.2817725,0.176035,290.60173255999996,0.42894018153022534
0.05654749999999997,0.06853749999999997,0.10585499999999998,0.12859749999999998,0.24286000000000002,0.2924975,0.229605,307.05608084,0.6445307976686617
0.05729000000000001,0.06575999999999999,0.10087750000000001,0.096835,0.3543175,0.3498625,0.21082250000000002,308.05414268,1.076755564819675
0.011144999999999988,0.013344999999999996,0.028524999999999995,0.021430000000000005,0.21965,0.133245,0.05756499999999998,294.7101926,0.49960818974980514
0.03820499999999999,0.06202000000000002,0.11366500000000002,0.14155,0.279325,0.2843575,0.15433750000000002,310.39548637999997,0.6198925310081518
0.03397,0.053962500000000024,0.08368999999999999,0.11204249999999999,0.22171249999999998,0.23524250000000002,0.1728175,310.75437848,0.6959595391211634
0.0448875,0.056877500000000025,0.10640500000000003,0.10492000000000001,0.3423825,0.2534475,0.16195500000000002,301.72738766,0.6530337545558841
0.1382775,0.1578025,0.20367249999999998,0.236205,0.3007475,0.31177499999999997,0.26887500000000003,312.12158648,0.7799482636136839
0.012575000000000003,0.017112500000000003,0.032594999999999985,0.027892499999999987,0.2112075,0.11273,0.059242499999999976,308.13275713999997,0.6544135272755967
0.05588749999999998,0.057867500000000016,0.07260749999999999,0.09375499999999998,0.1942125,0.2920025,0.1929475,330.72245132,0.6807098322173375
0.024565000000000003,0.024675000000000002,0.054237499999999994,0.023767499999999997,0.5170075000000001,0.183075,0.072525,296.7780947,1.0869934620432575
0.07884999999999998,0.0955975,0.132585,0.16690500000000003,0.24030250000000003,0.293405,0.23650749999999998,303.82946996,0.6859668039356953
0.05170750000000002,0.06045250000000002,0.08467999999999998,0.109045,0.18934499999999999,0.27806000000000003,0.200565,311.52685099999997,0.4847103106468262
0.07158999999999999,0.07942749999999998,0.10052,0.11273,0.22075,0.31392000000000003,0.22795500000000002,316.69831525999996,0.7760086148132254
0.02541750000000001,0.0322375,0.06303750000000002,0.052312499999999984,0.3533,0.1808475,0.0902075,305.72647106,0.8552549050639885
0.04425499999999999,0.05445749999999999,0.08396500000000001,0.097385,0.20680749999999998,0.23868,0.1617075,317.679287,0.7827661190765421
0.05442999999999998,0.06548500000000002,0.08693499999999998,0.109045,0.18739250000000002,0.259635,0.18057250000000002,282.84624518,0.5588962281798245
0.04871,0.059462499999999974,0.0771175,0.10013499999999997,0.16410000000000002,0.24904749999999998,0.22058500000000003,276.7143173,0.6694726132042969
0.05948999999999999,0.07235999999999998,0.10227999999999998,0.132805,0.19998749999999998,0.284715,0.2423925,313.919465,0.6642122906763268
